60-64,Country,50-54,55-59,70-74,65-69,Year,Country_Name,Male,Cause,75 +
2.0,2045,1.0,0.0,1.0,4.0,2001,Belize,0,I219,3.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,1,I250,1.0
0.0,2045,0.0,0.0,3.0,0.0,2001,Belize,1,I251,0.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,0,I251,8.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,0,I255,1.0
1.0,2045,0.0,2.0,1.0,1.0,2001,Belize,1,I259,3.0
0.0,2045,0.0,0.0,5.0,0.0,2001,Belize,0,I259,2.0
1.0,2045,0.0,1.0,0.0,0.0,2001,Belize,0,I269,3.0
1.0,2045,0.0,0.0,0.0,0.0,2001,Belize,1,I469,0.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,0,I469,4.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,0,I48,1.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,0,I490,1.0
1.0,2045,0.0,1.0,1.0,2.0,2001,Belize,1,I500,6.0
0.0,2045,1.0,0.0,0.0,3.0,2001,Belize,0,I500,2.0
1.0,2045,1.0,0.0,3.0,2.0,2001,Belize,1,I509,9.0
1.0,2045,0.0,0.0,2.0,3.0,2001,Belize,0,I509,2.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,1,I515,1.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,1,I516,3.0
0.0,2045,0.0,0.0,2.0,1.0,2001,Belize,0,I516,1.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,0,I519,1.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,1,I615,0.0
0.0,2045,1.0,0.0,0.0,0.0,2001,Belize,1,I619,0.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,0,I619,0.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,1,I629,0.0
